text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,score
@Eliwarren7 @iMr_x_BeNNeTT @silentnight0615 @StopTrumpBigly @realDonaldTrump <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,FALSE,1,Eliwarren7,11/18/2016 1:35,FALSE,7.99425E+17,7.99426E+17,3599059159,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MzVicious1972,0,FALSE,FALSE,NA,NA,0
RT @mollymotoole: .@realDonaldTrump readout of meeting with Kissinger: https://t.co/lPNzvv3IjN,FALSE,0,NA,11/18/2016 1:35,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",marnell39,5,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:34,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HolstKai,14,TRUE,FALSE,NA,NA,0
"RT @politico: . @realDonaldTrump is leaving Trump Tower — for scenic Bedminster, New Jersey https://t.co/1X9RxTiB9U | Getty https://t.co/9Y…",FALSE,0,NA,11/18/2016 1:34,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",utorgersen,15,TRUE,FALSE,NA,NA,3
"@VaknightsK @puppymnkey @realDonaldTrump I faced you down 45 years ago, I can do so again.",FALSE,1,VaknightsK,11/18/2016 1:34,FALSE,7.99424E+17,7.99425E+17,3370700019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",fotoeffex,0,FALSE,FALSE,NA,NA,-1
.@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting big pharma,FALSE,18,NA,11/18/2016 1:34,FALSE,NA,7.99425E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mitchellreports,14,FALSE,FALSE,NA,NA,1
.@realDonaldTrump's administration should actively pursue #GenderParity in the #US &amp; globally: https://t.co/mObAO2sHfW @TheWilsonCenter,FALSE,0,NA,11/18/2016 1:34,FALSE,NA,7.99425E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",GwenKYoung,0,FALSE,FALSE,NA,NA,0
@realDonaldTrump @RogerJStoneJr @brunelldonald @GopAaron @sweetatertot2 @Negro4Trump @Blacks4DTrump @TeamTrump… https://t.co/fpK1EAAuyb,FALSE,1,realDonaldTrump,11/18/2016 1:33,TRUE,NA,7.99425E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",randyshort,0,FALSE,FALSE,NA,NA,0
"RT @KatrinaPierson: RT if you supported @realDonaldTrump from day one,  before it was cool. <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#Day1Crew #TeamTrump #MakeAmericaGreatAgain <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,0,NA,11/18/2016 1:33,FALSE,NA,7.99425E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MikeandDawnNY,7399,TRUE,FALSE,NA,NA,2
RT @PaulaReidCBS: NEW: DOJ is now in contact with @realDonaldTrump's transition representatives and will begin to brief those individuals.,FALSE,0,NA,11/18/2016 1:32,FALSE,NA,7.99425E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9872hb,5,TRUE,FALSE,NA,NA,1
RT @fotoeffex: @puppymnkey Millions. I will register as Muslim. Fuck YOU Trump @realDonaldTrump,FALSE,0,NA,11/18/2016 1:32,FALSE,NA,7.99425E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",ian_frogman,19,TRUE,FALSE,NA,NA,-2
RT @politico: Kobach: @realDonaldTrump considering registry for immigrants from Muslim countries https://t.co/F67Ju4MvtZ | AP Photo https:/…,FALSE,0,NA,11/18/2016 1:32,FALSE,NA,7.99425E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LexLex__Pink,273,TRUE,FALSE,NA,NA,0
"@realDonaldTrump , I miss him too. Mr. Prez, give @seanhannity an interview please???? (asap) https://t.co/xYCH6eQaxL",FALSE,1,realDonaldTrump,11/18/2016 1:32,FALSE,NA,7.99425E+17,25073877,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",nanna4trump,0,FALSE,FALSE,NA,NA,-1
